"{'Citroen 2CV Charleston extensively restored engine revised very good condition (1985)', 'name'}","{'Manufacturer', 'Citroen'}","{'2CV', 'Model'}","{'1985', 'Year'}","{'Transmission', 'Manually'}","{'Horsepower', '21'}","{'Milage', '2.800 km'}","{'FR', 'Country Version'}","{'66117 Saarbrücken', 'Location'}","{'', 'Color'}"
"{'name', 'Citroën Ami 6 Break Einmaliger Zustand (1968)'}","{'Manufacturer', 'Citroen'}","{'Ami 6 Break', 'Model'}","{'1968', 'Year'}","{'Schaltgetriebe', 'Transmission'}","{'', 'Horsepower'}","{'17.900 km', 'Milage'}","{'FR', 'Country Version'}","{'Location', '🇩🇪 Hamburg'}","{'Rot', 'Color'}"
"{'name', ""Citroën CV11- Legere 1.9L Restored Note 1- excellent condition Collector's vehicle (1953)""}","{'Manufacturer', 'Citroen'}","{'11CV Legere', 'Model'}","{'1952', 'Year'}","{'Transmission', 'Manual Transmission'}","{'Horsepower', '56'}","{'19.439 km', 'Milage'}","{'Country Version', 'DE'}","{'🇩🇪 Heidenau', 'Location'}","{'Color', 'White-Beige'}"
"{'name', ""Citroën CV11- Legere 1.9L Restored Note 1- excellent condition Collector's vehicle (1953)""}","{'Manufacturer', 'Citroen'}","{'11CV Legere', 'Model'}","{'1952', 'Year'}","{'Transmission', 'Manual Transmission'}","{'Horsepower', '56'}","{'19.439 km', 'Milage'}","{'Country Version', 'DE'}","{'🇩🇪 Heidenau', 'Location'}","{'Color', 'White-Beige'}"
"{'Citroen CX 2.5 GTI complete checkbook very good condition from 2nd hand (1988)', 'name'}","{'Manufacturer', 'Citroen'}","{'CX', 'Model'}","{'1988', 'Year'}","{'Transmission', 'Automatic'}","{'121', 'Horsepower'}","{'160.391 km', 'Milage'}","{'Country Version', 'CH'}","{'Location', '🇩🇪 21258 Heidenau'}","{'Color', 'Black'}"
"{'Citroën CX Serie 1 Sondermodell ""Leader"" 5-Gang  (1984)', 'name'}","{'Manufacturer', 'Citroen'}","{'CX', 'Model'}","{'1984', 'Year'}","{'Schaltgetriebe', 'Transmission'}","{'106', 'Horsepower'}","{'183.700 Km', 'Milage'}","{'Country Version', 'DE'}","{'Location', '🇩🇪 44359 Dortmund'}","{'Métallisée Vernie', 'Color'}"
"{'Citroën Ente 2CV restoration object 4-speed (1979)', 'name'}","{'Manufacturer', 'Citroen'}","{'Ente', 'Model'}","{'1979', 'Year'}","{'Transmission', 'Manually'}","{'24', 'Horsepower'}","{'Milage', '77.660 km'}","{'Country Version', 'DE'}","{'Location', '🇩🇪 49084 Osnabrück'}","{'Color', 'white'}"
"{'Citroën SM ""Regembeau"" 2.3L 95hp Extremely rare conversion to diesel technology (1972)', 'name'}","{'Manufacturer', 'Citroen'}","{'SM', 'Model'}","{'1972', 'Year'}","{'Transmission', 'Manual Transmission'}","{'95', 'Horsepower'}","{'41.221 km', 'Milage'}","{'FR', 'Country Version'}","{'🇩🇪 Heidenau', 'Location'}","{'Color', 'Gold Metallic'}"
"{'Citroën SM ""Regembeau"" 2.3L 95hp Extremely rare conversion to diesel technology (1972)', 'name'}","{'Manufacturer', 'Citroen'}","{'SM', 'Model'}","{'1972', 'Year'}","{'Transmission', 'Manual Transmission'}","{'95', 'Horsepower'}","{'41.221 km', 'Milage'}","{'FR', 'Country Version'}","{'🇩🇪 Heidenau', 'Location'}","{'Color', 'Gold Metallic'}"
"{'Datsun 260Z 162PS 2. Hand Gold Metallic Restauriert Historie 50t Mls (1974)', 'name'}","{'Manufacturer', 'Datsun'}","{'260Z', 'Model'}","{'1974', 'Year'}","{'Schaltgetriebe', 'Transmission'}","{'Horsepower', '162'}","{'Milage', '51.590 mls'}","{'US', 'Country Version'}","{'🇩🇪Hamburg', 'Location'}","{'Color', 'Gold Metallic'}"
"{'Datsun 260Z 2. Hand, Restauriert, Historie, 50t Mls (1974)', 'name'}","{'Manufacturer', 'Datsun'}","{'260 Z', 'Model'}","{'1974', 'Year'}","{'Schaltgetriebe', 'Transmission'}","{'Preiseinschätzung: 35.000€-40.000€', 'Horsepower'}","{'50.165 mi', 'Milage'}","{'US', 'Country Version'}","{'Location', '🇩🇪 Hamburg'}","{'Color', 'Gold Metallic (304)'}"
"{'name', 'Datsun Cherry F II Coupé with rare rally stripes unsealed (1978)'}","{'Manufacturer', 'Datsun'}","{'Cherry', 'Model'}","{'1978', 'Year'}","{'Transmission', 'Manual Transmission'}","{'52', 'Horsepower'}","{'Milage', '54.000 km'}","{'Country Version', 'JP'}","{'🇩🇪 40764 Langenfeld', 'Location'}","{'Yellow', 'Color'}"
"{'name', 'Nissan Datsun 280Z Tokio Mod. Signalgelb BBS 2-Sitzer äußerst seltene Ausführung (1977)'}","{'Manufacturer', 'Datsun'}","{'280 Z', 'Model'}","{'1977', 'Year'}","{'Schaltgetriebe', 'Transmission'}","{'170', 'Horsepower'}","{'77.000 mi', 'Milage'}","{'Country Version', 'DE'}","{'🇩🇪 Pforzheim', 'Location'}","{'Color', 'Signalgelb'}"
"{'DeLorean DMC-12 Matching Numbers 59,000 Km (1981)', 'name'}","{'Manufacturer', 'DeLorean'}","{'DMC 12', 'Model'}","{'1981', 'Year'}","{'Transmission', 'Manual Transmission'}","{'', 'Horsepower'}","{'Milage', '60.000 km'}","{'N/A', 'Country Version'}","{'Location', '🇩🇪 86199 Augsburg'}","{'Color', 'Silver'}"
"{'DeLorean DMC-12 Matching Numbers 59,000 Km (1981)', 'name'}","{'Manufacturer', 'DeLorean'}","{'DMC 12', 'Model'}","{'1981', 'Year'}","{'Transmission', 'Manual Transmission'}","{'', 'Horsepower'}","{'Milage', '60.000 km'}","{'N/A', 'Country Version'}","{'Location', '🇩🇪 86199 Augsburg'}","{'Color', 'Silver'}"
"{'De Tomaso Longchamp Nr. 103 / 313 Rarität Gutachten Note 2+ (1973)', 'name'}","{'Manufacturer', 'DeTomaso'}","{'Longchamp', 'Model'}","{'1973', 'Year'}","{'Automatik', 'Transmission'}","{'', 'Horsepower'}","{'Milage', '113.680 km'}","{'Country Version', 'DE'}","{'🇩🇪 Chiemgau', 'Location'}","{'Color', 'Indiumgraumetallic'}"
"{'Dodge Challenger  (2012)', 'name'}","{'Manufacturer', 'Dodge'}","{'Challenger', 'Model'}","{'2012', 'Year'}","{'Automatik', 'Transmission'}","{'', 'Horsepower'}","{'133.150 km', 'Milage'}","{'US', 'Country Version'}","{'66129 Saarbrücken', 'Location'}","{'', 'Color'}"
"{'Dodge Charger 383 cui power steering 294 hp (1968)', 'name'}","{'Manufacturer', 'Dodge'}","{'Charger', 'Model'}","{'1968', 'Year'}","{'Transmission', 'Automatic'}","{'294', 'Horsepower'}","{'92.260 mi', 'Milage'}","{'US', 'Country Version'}","{'🇩🇪 86150 Augbsurg', 'Location'}","{'Color', 'red'}"
